customer_id,first_name,last_name,city,state,gender,age,email,signup_date,acquisition_channel,phone,pincode
CUST_06161,Mugdha,Varty,Tarchha,Bihar,Female,36,Mugdha_Varty65@gmail.com,2025-09-10,paid,9983171888.0,751628
CUST_06385,Girish,Buch,Kadiganahalli,Karnataka,Female,61,Girish_Buch83@yahoo.com,2025-01-18,referral,9407690254.0,205699
CUST_07689,Gautam,Chatterjee,Chinnasekkadu,Tamil Nadu,Female,45,Gautam_Chatterjee74@yahoo.com,2023-06-16,paid,9645616999.0,543175
CUST_12907,Vrinda,Vala,Supaul,Bihar,Female,51,Vrinda_Vala62@yahoo.com,2023-05-12,paid,9775697380.0,551015
CUST_01365,Chakradev,Ganguly,Kadiganahalli,Karnataka,Male,25,Chakradev_Ganguly68@gmail.com,2025-10-03,referral,9941096683.0,563831
CUST_09861,Oscar,Merchant,Bhopal,Madhya Pradesh,Male,25,Oscar_Merchant21@hotmail.com,2024-08-26,referral,9605125225.0,116388
CUST_04454,Frado,Saraf,Taliganja,West Bengal,Male,69,Frado_Saraf95@hotmail.com,2025-06-23,organic,9904758604.0,344908
CUST_00839,Luke,Dyal,Tribeni,West Bengal,Male,34,Luke_Dyal19@yahoo.com,2024-12-26,organic,9411301656.0,566957
CUST_06148,Zinal,Dixit,Hariladih,Jharkhand,Female,44,Zinal_Dixit47@yahoo.com,2025-03-26,referral,9201518623.0,230425
CUST_13097,Yagnesh,Narain,Andheri,Maharashtra,Female,63,Yagnesh_Narain50@hotmail.com,2023-09-06,referral,9266961870.0,662001
CUST_01666,Kalpit,Rege,Ambattir,Tamil Nadu,Male,60,Kalpit_Rege68@gmail.com,2025-06-20,paid,9896170040.0,305624
CUST_12910,Priya,Vyas,Salt Lake City,West Bengal,Female,34,Priya_Vyas42@hotmail.com,2025-10-27,referral,9227936719.0,361741
CUST_00899,Eesha,Dugar,Pune,Maharashtra,Female,48,Eesha_Dugar33@gmail.com,2023-05-23,paid,9252775696.0,257604
CUST_12295,Yamini,Das,Khanpur Zabti,Uttar Pradesh,Male,36,Yamini_Das70@hotmail.com,2023-06-16,organic,9264237181.0,807637
CUST_06223,Azad,Rattan,Bayandhalli,Karnataka,Male,33,Azad_Rattan78@hotmail.com,2025-01-21,paid,9765313214.0,481970
CUST_11031,Jagrati,Sarma,Bendravadi,Karnataka,Male,42,Jagrati_Sarma87@gmail.com,2023-06-30,organic,9720530957.0,191605
CUST_05156,Aahana,Hans,Madurai,Tamil Nadu,Male,69,Aahana_Hans19@yahoo.com,2025-02-24,paid,9394388152.0,290686
