customer_id,first_name,last_name,city,state,gender,age,email,signup_date,acquisition_channel,phone,pincode
CUST_00001,Shravya,Soni,Jamshedpur,Jharkhand,Male,58,Shravya_Soni61@gmail.com,2025-10-18,organic,9962061404,475839
CUST_00002,Barkha,Talwar,Agra,Uttar Pradesh,Male,20,Barkha_Talwar81@gmail.com,2025-01-28,organic,9523734972,842181
CUST_00003,Oscar,Khanna,Muzaffarpur,Bihar,Male,44,Oscar_Khanna92@gmail.com,2025-03-29,paid,9529389014,197499
CUST_00004,Arya,Dhillon,Sultanpur Mazra,Delhi,Male,56,Arya_Dhillon97@yahoo.com,2025-04-09,paid,9459525748,285204
CUST_00005,Advay,Gera,Sultanpur Mazra,Delhi,Male,39,Advay_Gera33@gmail.com,2023-09-30,organic,9748061058,439366
CUST_00006,Ekansh,Srinivasan,Bilaspur,Chattisgarh,Female,70,Ekansh_Srinivasan62@hotmail.com,2023-02-08,referral,9454088427,437070
CUST_00007,Watika,Rajagopal,Mirchi,Bihar,Male,63,Watika_Rajagopal47@gmail.com,2025-12-04,paid,9103344769,213356
CUST_00008,Ekbal,Buch,Herohalli,Karnataka,Male,52,Ekbal_Buch30@yahoo.com,2024-12-04,organic,9604579232,294780
CUST_00009,Samarth,Mutti,Bhalswa Jahangirpur,Delhi,Male,54,Samarth_Mutti67@hotmail.com,2025-11-09,organic,9206328085,368796
CUST_00010,Janani,Majumdar,Madipakkam,Tamil Nadu,Male,31,Janani_Majumdar98@yahoo.com,2025-12-06,organic,9277077808,610187
CUST_00011,Laban,Zachariah,Vishakhapatnam,Andhra Pradesh,Male,33,Laban_Zachariah68@gmail.com,2025-07-10,paid,9743647998,494682
CUST_00012,Nilima,Gaba,Murtazabad,Uttar Pradesh,Male,21,Nilima_Gaba69@gmail.com,2024-05-28,referral,9599770319,562367
CUST_00013,Ishaan,Krishna,Bansbaria,West Bengal,Female,31,Ishaan_Krishna71@yahoo.com,2023-08-10,referral,9489151677,194655
CUST_00014,Alexander,Agrawal,Bansbaria,West Bengal,Male,43,Alexander_Agrawal71@yahoo.com,2023-09-29,paid,9957592370,701724
CUST_00015,Abdul,Varkey,Shimla,Himachal Pradesh,Male,34,Abdul_Varkey64@yahoo.com,2025-10-07,paid,9496917567,383539
CUST_00016,Urmi,Memon,Harchandi,Bihar,Female,26,Urmi_Memon60@yahoo.com,2025-08-08,paid,9874414982,599493
CUST_00017,Timothy,Lata,Mirzapur,Uttar Pradesh,Male,28,Timothy_Lata82@yahoo.com,2023-04-28,paid,9379394470,459458
CUST_00018,Ekapad,Nath,Vadodara,Gujarat,Female,47,Ekapad_Nath13@yahoo.com,2024-02-20,organic,9925500248,349932
CUST_00019,Tanveer,Modi,Saino,Bihar,Male,25,Tanveer_Modi23@yahoo.com,2025-07-09,referral,9350814705,808362
CUST_00020,Yashvi,Chaudhry,Puri,Odisha,Female,45,Yashvi_Chaudhry18@gmail.com,2025-06-24,paid,9168574553,178149
CUST_00021,Udant,Krish,Shimla,Himachal Pradesh,Male,24,Udant_Krish11@yahoo.com,2024-08-12,organic,9891274835,361996
CUST_00022,Krisha,Shetty,Ambapuram,Andhra Pradesh,Male,28,Krisha_Shetty69@yahoo.com,2023-02-04,referral,9624150214,682844
CUST_00023,Eiravati,Vasa,Tribeni,West Bengal,Male,49,Eiravati_Vasa17@gmail.com,2023-10-16,organic,9247697582,216531
CUST_00024,Baghyawati,Parmar,Herohalli,Karnataka,Female,33,Baghyawati_Parmar87@yahoo.com,2025-04-22,referral,9705850704,570338
CUST_00025,Meghana,Khanna,Bhopal,Madhya Pradesh,Female,68,Meghana_Khanna13@gmail.com,2024-07-31,organic,9365047041,569774
CUST_00026,Reyansh,Char,Babura,Bihar,Male,45,Reyansh_Char15@gmail.com,2025-10-20,referral,9993102645,451098
CUST_00027,Frado,Panchal,Kota,Rajasthan,Female,41,Frado_Panchal13@hotmail.com,2025-02-03,referral,9893943861,381837
CUST_00028,Aashi,Choudhary,Zeyadah Kot,West Bengal,Male,22,Aashi_Choudhary72@hotmail.com,2025-09-04,organic,9496360081,312284
CUST_00029,Jason,Gopal,Saino,Bihar,Male,18,Jason_Gopal43@gmail.com,2025-02-19,paid,9723415497,333166
CUST_00030,Jairaj,Oommen,Supaul,Bihar,Male,20,Jairaj_Oommen23@hotmail.com,2023-12-14,organic,9838194223,645823
CUST_00031,Rayaan,Tiwari,Oulgaret,Tamil Nadu,Female,31,Rayaan_Tiwari81@yahoo.com,2025-01-07,organic,9402554573,463532
CUST_00032,Yuvraj,Bajwa,Gyan Chak,Bihar,Female,48,Yuvraj_Bajwa71@hotmail.com,2024-12-19,organic,9423541287,330885
CUST_00033,Zinal,Thaman,Bilaspur,Chattisgarh,Female,44,Zinal_Thaman89@hotmail.com,2025-11-22,referral,9191693393,717087
CUST_00034,Krisha,Oza,Nagpur,Maharashtra,Male,39,Krisha_Oza62@gmail.com,2025-04-02,organic,9472593431,384330
CUST_00035,Leena,Narain,Vijayavada,Andhra Pradesh,Female,29,Leena_Narain98@hotmail.com,2024-06-05,paid,9232862715,542316
CUST_00036,Theodore,Tella,Indore,Madhya Pradesh,Female,68,Theodore_Tella50@gmail.com,2024-10-18,organic,9298743196,486897
CUST_00037,Barkha,Krishna,Bali,Bihar,Male,58,Barkha_Krishna98@gmail.com,2025-11-08,paid,9844753672,230152
CUST_00038,Gautam,Gera,Kadabgeri,Karnataka,Male,52,Gautam_Gera10@gmail.com,2023-10-04,organic,9953477355,243768
CUST_00039,Gaurav,Dixit,Chinnasekkadu,Tamil Nadu,Female,65,Gaurav_Dixit97@hotmail.com,2023-07-24,paid,9160472382,246331
CUST_00040,Ganga,Sandal,Shekhpura,Bihar,Female,36,Ganga_Sandal90@gmail.com,2025-03-08,referral,9272552610,239313
CUST_00041,Saanvi,Bhatia,Kitanelli,Karnataka,Male,52,Saanvi_Bhatia14@gmail.com,2024-09-08,paid,9857206505,398999
CUST_00042,Fiyaz,Karan,Kammanhalli,Karnataka,Male,50,Fiyaz_Karan50@gmail.com,2024-11-13,referral,9808496411,394807
CUST_00043,Barkha,Samra,Rajkot,Gujarat,Male,33,Barkha_Samra82@hotmail.com,2024-07-15,organic,9629561415,485714
CUST_00044,Nandini,Naik,Narayanpur Kola,Bihar,Male,20,Nandini_Naik42@yahoo.com,2024-07-26,organic,9372981039,711662
CUST_00045,Onkar,Konda,Harchandi,Bihar,Female,57,Onkar_Konda97@yahoo.com,2025-09-11,paid,9812631076,599571
CUST_00046,Xiti,Memon,New Delhi,Delhi,Female,37,Xiti_Memon53@hotmail.com,2025-12-28,organic,9690804839,383110
CUST_00047,Anika,Jaggi,Vishakhapatnam,Andhra Pradesh,Male,24,Anika_Jaggi44@gmail.com,2025-12-14,paid,9670916578,249183
CUST_00048,Aadi,Dhawan,Ambapuram,Andhra Pradesh,Female,40,Aadi_Dhawan87@gmail.com,2023-08-18,referral,9524831618,294065
CUST_00049,Bhavini,Jain,Sabalpur,Bihar,Female,37,Bhavini_Jain14@yahoo.com,2024-08-06,referral,9363183577,733095
CUST_00050,Turvi,Grewal,Tribeni,West Bengal,Male,37,Turvi_Grewal23@yahoo.com,2025-11-10,organic,9273660954,229177
CUST_00051,Dalaja,Arya,Kalyan,Maharashtra,Female,24,Dalaja_Arya88@yahoo.com,2024-07-30,paid,9862532878,328970
CUST_00052,Megha,Thaman,Murtazabad,Uttar Pradesh,Female,39,Megha_Thaman51@gmail.com,2025-10-26,paid,9913194107,363619
CUST_00053,Bina,Patla,Shimla,Himachal Pradesh,Female,21,Bina_Patla72@gmail.com,2024-01-03,paid,9726049887,232097
CUST_00054,Anita,Kannan,Chandannagar,West Bengal,Male,26,Anita_Kannan61@yahoo.com,2023-05-14,referral,9371766524,220688
CUST_00055,Ayushman,Chahal,Aligarh,Uttar Pradesh,Female,45,Ayushman_Chahal13@yahoo.com,2024-08-18,organic,9776742877,845717
CUST_00056,Vasana,Salvi,Indore,Madhya Pradesh,Male,41,Vasana_Salvi32@yahoo.com,2025-11-07,paid,9548469222,308287
CUST_00057,Sneha,Prabhakar,Madnaikanhalli,Karnataka,Male,41,Sneha_Prabhakar52@gmail.com,2025-08-26,referral,9972141340,274900
CUST_00058,Bhavika,Natarajan,Loni,Uttar Pradesh,Male,40,Bhavika_Natarajan22@yahoo.com,2025-01-29,referral,9430626207,489990
CUST_00059,Teerth,Korpal,Hesarghatta,Karnataka,Male,58,Teerth_Korpal37@gmail.com,2023-08-24,referral,9871795521,481370
CUST_00060,Ranveer,Natarajan,Gwalior,Madhya Pradesh,Female,39,Ranveer_Natarajan54@hotmail.com,2023-01-03,referral,9295995197,552297
CUST_00061,Daniel,Nayar,Puducherry,Puducherry,Female,24,Daniel_Nayar15@hotmail.com,2023-02-01,referral,9987059227,310236
CUST_00062,Chakrika,Kaur,Sondekoppa,Karnataka,Male,47,Chakrika_Kaur93@hotmail.com,2025-10-06,organic,9712286237,262907
CUST_00063,Aayush,Mannan,Dasarhalli,Karnataka,Male,30,Aayush_Mannan98@hotmail.com,2025-10-02,organic,9392072678,497262
CUST_00064,Sara,Lad,Rajkot,Gujarat,Female,50,Sara_Lad10@hotmail.com,2024-08-14,paid,9734324250,564590
CUST_00065,Amara,Golla,Nathupur,Bihar,Female,54,Amara_Golla86@hotmail.com,2024-02-16,organic,9575584232,512691
