customer_id,first_name,last_name,city,state,gender,age,email,signup_date,acquisition_channel,phone,pincode
CUST_06161,Arin,Reddy,Tarchha,Bihar,Female,36,Arin_Reddy65@gmail.com,2023-12-03,paid,9983171888.0,751628
CUST_06385,Odika,Sura,Kadiganahalli,Karnataka,Female,61,Odika_Sura83@yahoo.com,2025-01-06,referral,9407690254.0,205699
CUST_07689,Imaran,Prasad,Chinnasekkadu,Tamil Nadu,Female,45,Imaran_Prasad74@yahoo.com,2024-06-20,paid,9645616999.0,543175
CUST_12907,Karan,Borde,Supaul,Bihar,Female,51,Karan_Borde62@yahoo.com,2023-03-15,paid,9775697380.0,551015
CUST_01365,Girik,Sachdev,Kadiganahalli,Karnataka,Male,25,Girik_Sachdev68@gmail.com,2025-04-08,referral,9941096683.0,563831
CUST_09861,Manthan,Pandey,Bhopal,Madhya Pradesh,Male,25,Manthan_Pandey21@hotmail.com,2024-07-07,referral,9605125225.0,116388
CUST_04454,Vasana,Pall,Taliganja,West Bengal,Male,69,Vasana_Pall95@hotmail.com,2025-08-11,organic,9904758604.0,344908
CUST_00839,Bahadurjit,Sem,Tribeni,West Bengal,Male,34,Bahadurjit_Sem19@yahoo.com,2023-03-22,organic,9411301656.0,566957
CUST_06148,Ishaan,Panchal,Hariladih,Jharkhand,Female,44,Ishaan_Panchal47@yahoo.com,2024-03-15,referral,9201518623.0,230425
CUST_13097,Rachit,Tella,Andheri,Maharashtra,Female,63,Rachit_Tella50@hotmail.com,2024-08-24,referral,9266961870.0,662001
CUST_01666,Ronith,Narang,Ambattir,Tamil Nadu,Male,60,Ronith_Narang68@gmail.com,2025-03-22,paid,9896170040.0,305624
CUST_12910,Manbir,Joshi,Salt Lake City,West Bengal,Female,34,,2024-06-25,referral,,361741
CUST_00899,Yoshita,Sachdev,PUNE,Maharashtra,Female,48,Yoshita_Sachdev33@gmail.com,2024-09-05,paid,9252775696.0,257604
CUST_12295,Rayaan,Reddy,Khanpur Zabti,Uttar Pradesh,Male,36,Rayaan_Reddy70@hotmail.com,2024-08-04,organic,9264237181.0,807637
CUST_06223,Abha,Tailor,Bayandhalli,Karnataka,Male,33,Abha_Tailor78@hotmail.com,2024-02-06,paid,9765313214.0,481970
CUST_11031,Kevin,Koshy,Bendravadi,Karnataka,Male,42,Kevin_Koshy87@gmail.com,2024-09-29,organic,9720530957.0,191605
CUST_05156,Yoshita,Venkatesh,Madurai,Tamil Nadu,Male,69,,2025-10-19,paid,,290686
CUST_09714,Jeet,Zachariah,Bansbaria,West Bengal,Female,27,Jeet_Zachariah70@gmail.com,2023-07-09,organic,9750596327.0,215318
CUST_01030,Tanish,Narula,Kadiganahalli,Karnataka,Male,30,Tanish_Narula19@gmail.com,2024-11-14,paid,9323151807.0,300707
CUST_14864,Chandresh,Agrawal,Nanmangalam,Tamil Nadu,Male,68,Chandresh_Agrawal48@hotmail.com,2025-10-16,paid,9740382153.0,385878
CUST_13828,Anika,Sunder,KRISHNANAGAR,West Bengal,Female,47,Anika_Sunder97@yahoo.com,2024-07-03,organic,9685459187.0,639280
CUST_12000,Sarthak,Deep,Dasarhalli,Karnataka,Female,29,Sarthak_Deep77@hotmail.com,2023-05-27,organic,9491652483.0,300088
CUST_12129,Chandani,Dave,Chik Banavar,Karnataka,Female,33,Chandani_Dave81@yahoo.com,2025-01-31,organic,9639716531.0,617406
CUST_14430,Jatin,Edwin,Kasgatpur,Karnataka,Female,33,Jatin_Edwin97@yahoo.com,2023-08-02,paid,9680912065.0,572502
CUST_05315,Oscar,Bajaj,Salua,West Bengal,Male,33,Oscar_Bajaj71@hotmail.com,2025-08-05,paid,9405830512.0,291677
CUST_04727,Brinda,Salvi,Baj Baj,West Bengal,Female,23,Brinda_Salvi57@gmail.com,2023-02-25,organic,9425866238.0,261634
CUST_06866,Abdul,Bhatt,BALI,Bihar,Female,67,Abdul_Bhatt60@hotmail.com,2025-04-30,organic,9755794412.0,788930
CUST_10763,Idika,Morar,Hyderabad,Telangana,Male,29,Idika_Morar98@gmail.com,2024-12-02,organic,9596767596.0,210925
CUST_05877,Bimala,Swamy,Kammanhalli,Karnataka,Male,38,Bimala_Swamy94@yahoo.com,2023-08-02,paid,9200109982.0,243108
CUST_07912,Anusha,Jani,Kadabgeri,Karnataka,Male,39,Anusha_Jani35@yahoo.com,2025-08-21,organic,9614345489.0,274516
CUST_09972,Anita,Chatterjee,Ambattir,Tamil Nadu,Female,21,Anita_Chatterjee28@gmail.com,2023-01-13,organic,9295996471.0,806732
CUST_09415,Nitara,Pingle,Mahuli,Bihar,Male,41,Nitara_Pingle46@hotmail.com,2024-04-06,referral,9686817594.0,694792
CUST_03651,Luke,Luthra,Ghaziabad,Uttar Pradesh,Male,30,Luke_Luthra84@gmail.com,2023-12-07,paid,9912082364.0,233792
